# bench=memory_detail
# l3_bytes=20971520
# ring_bytes=134217728
# k=5 warmup=1 cpu=0
op,impl,size,dst_align,src_align,mode,delta,cyc_per_byte,gib_s
memset0,libc,56,0,0,hot,0,0.0669,41.77
memset5A,micron,56,0,0,hot,0,0.0674,41.33
memcpy,micron,57,0,0,hot,0,0.0692,40.32
memcpy,libc,57,0,0,hot,0,0.0687,40.64
memcpy,raw32,57,0,0,hot,0,0.0687,40.71
memmove,micron,57,0,0,hot,0,0.0792,35.32
memmove,libc,57,0,0,hot,0,0.0521,53.63
memset0,micron,57,0,0,hot,0,0.0396,70.27
memset0,libc,57,0,0,hot,0,0.0669,41.35
memset5A,micron,57,0,0,hot,0,0.1556,17.92
memcpy,micron,58,0,0,hot,0,0.0426,65.78
memcpy,libc,58,0,0,hot,0,0.0665,42.03
memcpy,raw32,58,0,0,hot,0,0.0684,40.86
memmove,micron,58,0,0,hot,0,0.0785,35.60
memmove,libc,58,0,0,hot,0,0.0519,54.01
memset0,micron,58,0,0,hot,0,0.0397,70.01
memset0,libc,58,0,0,hot,0,0.0645,43.26
memset5A,micron,58,0,0,hot,0,0.0643,43.48
memcpy,micron,59,0,0,hot,0,0.0673,41.43
memcpy,libc,59,0,0,hot,0,0.0654,42.60
memcpy,raw32,59,0,0,hot,0,0.0673,41.66
memmove,micron,59,0,0,hot,0,0.0763,36.65
memmove,libc,59,0,0,hot,0,0.0498,56.00
memset0,micron,59,0,0,hot,0,0.0384,72.40
memset0,libc,59,0,0,hot,0,0.0629,44.46
memset5A,micron,59,0,0,hot,0,0.0637,43.84
memcpy,micron,60,0,0,hot,0,0.0655,42.68
memcpy,libc,60,0,0,hot,0,0.0645,43.28
memcpy,raw32,60,0,0,hot,0,0.0656,42.60
memmove,micron,60,0,0,hot,0,0.0750,37.25
memmove,libc,60,0,0,hot,0,0.0500,55.88
memset0,micron,60,0,0,hot,0,0.0376,74.47
memset0,libc,60,0,0,hot,0,0.0626,44.65
memset5A,micron,60,0,0,hot,0,0.0626,44.69
memcpy,micron,61,0,0,hot,0,0.0646,43.22
memcpy,libc,61,0,0,hot,0,0.0638,43.91
memcpy,raw32,61,0,0,hot,0,0.0644,43.24
memmove,micron,61,0,0,hot,0,0.0748,37.23
memmove,libc,61,0,0,hot,0,0.0493,56.85
memset0,micron,61,0,0,hot,0,0.0370,75.58
